Title,Year,Rating,Votes,Runtime(min),Genres_x,Overview,Director_x,Actors,RT_CriticScore,RT_AudienceScore,Genres_y,Director_y,Runtime_x,RT_Link,Metascore,UserScore,Genres,Director,Runtime_y
a bronx tale,1993,7.87,2585.0,121.0,"Drama, Crime","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks",,,,,,,,,,,
a clockwork orange,1971,8.188,13121.0,137.0,"Science Fiction, Crime","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke",,,,,,,,,,,
a dog's journey,2019,8.058,1543.0,109.0,"Family, Adventure, Drama",A dog finds the meaning of his own existence through the lives of the humans he meets.,Gail Mancuso,"Marg Helgenberger, Betty Gilpin, Henry Lau, Kathryn Prescott, Dennis Quaid",,,,,,,,,,,
a dog's will,2000,8.417,1150.0,104.0,"Comedy, Drama, Fantasy","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela",,,,,,,,,,,
a film unfinished,2010,,,,,,,,,,,,,,88.0,72.0,"Documentary,Drama,History",Yael Hersonski,88.0
a fistful of dollars,1964,,,,,,,,98.0,91.0,western,Sergio Leone,1h 36m,http://www.rottentomatoes.com/m/fistful_of_dollars,,,,,
a fistful of dollars,1964,,,,,,,,98.0,91.0,western,Sergio Leone,1h 36m,http://www.rottentomatoes.com/m/fistful_of_dollars,,,,,
a hard day's night,1964,,,,,,,,98.0,89.0,"comedy, musical",Richard Lester,1h 23m,http://www.rottentomatoes.com/m/beatles_a_hard_days_night,96.0,85.0,"Comedy,Musical",Richard Lester,87.0
a hard day's night,1964,,,,,,,,98.0,89.0,"comedy, musical",Richard Lester,1h 23m,http://www.rottentomatoes.com/m/beatles_a_hard_days_night,96.0,85.0,"Comedy,Musical",Richard Lester,87.0
a man escaped,1956,7.9,552.0,101.0,"Drama, Thriller",A captured French Resistance fighter during World War II engineers a daunting escape from prison.,Robert Bresson,"François Leterrier, Charles Le Clainche, Maurice Beerblock, Roland Monod, Jacques Ertaud",,,,,,,,,,,
a prophet,2010,,,,,,,,,,,,,,90.0,83.0,"Crime,Drama",Jacques Audiard,155.0
a secret love,2020,,,,,,,,100.0,91.0,"gay and lesbian, drama, documentary",Chris Bolan,1h 23m,http://www.rottentomatoes.com/m/a_secret_love,,,,,
a separation,2011,7.893,1786.0,123.0,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"Leila Hatami, Payman Maadi, Sareh Bayat, Sarina Farhadi, Shahab Hosseini",99.0,92.0,drama,Asghar Farhadi,2h 3m,http://www.rottentomatoes.com/m/a_separation_2011,95.0,89.0,Drama,Asghar Farhadi,123.0
a serious man,2009,,,,,,,,,,,,,,88.0,73.0,"Comedy,Drama","Ethan Coen,Joel Coen",106.0
a silent voice: the movie,2016,8.383,4081.0,129.0,"Animation, Drama, Romance","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko",,,,,,,,,,,
a special day,1977,8.1,678.0,106.0,"Drama, Romance",Two neighbours — a persecuted journalist and a resigned housewife — forge a strong bond on the day of Adolf Hitler's historic 1938 visit to Rome.,Ettore Scola,"Sophia Loren, Marcello Mastroianni, John Vernon, Françoise Berd, Patrizia Basso",,,,,,,,,,,
a star is born,1954,,,,,,,,98.0,81.0,musical,George Cukor,2h 56m,http://www.rottentomatoes.com/m/1019829-star_is_born,89.0,83.0,"Drama,Musical,Romance",George Cukor,154.0
a star is born,2018,,,,,,,,,,,,,,88.0,84.0,"Drama,Music,Romance",Bradley Cooper,136.0
a street cat named bob,2016,7.905,1463.0,103.0,"Family, Drama","James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",Roger Spottiswoode,"Luke Treadaway, Ruta Gedmintas, Joanne Froggatt, Anthony Stewart Head, Caroline Goodall",,,,,,,,,,,
a streetcar named desire,1951,,,,,,,,98.0,90.0,drama,Elia Kazan,2h 2m,http://www.rottentomatoes.com/m/1020333-streetcar_named_desire,97.0,82.0,Drama,Elia Kazan,122.0
a streetcar named desire,1951,,,,,,,,98.0,90.0,drama,Elia Kazan,2h 2m,http://www.rottentomatoes.com/m/1020333-streetcar_named_desire,97.0,82.0,Drama,Elia Kazan,122.0
a summer's tale,1996,,,,,,,,98.0,83.0,romance,Eric Rohmer,1h 53m,http://www.rottentomatoes.com/m/summers_tale,,,,,
a summer's tale,2014,,,,,,,,,,,,,,91.0,79.0,"Comedy,Drama,Romance",Éric Rohmer,113.0
a taxi driver,2017,8.065,1035.0,138.0,"Action, Drama, History","May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.",Jang Hoon,"Song Kang-ho, Thomas Kretschmann, Yoo Hai-jin, Ryu Jun-yeol, Park Hyuk-kwon",,,,,,,,,,,
a trip to the moon,1902,7.913,1828.0,15.0,"Adventure, Science Fiction","Professor Barbenfouillis and five of his colleagues from the Academy of Astronomy travel to the Moon aboard a rocket propelled by a giant cannon. Once on the lunar surface, the bold explorers face the many perils hidden in the caves of the mysterious planet.",Georges Méliès,"Georges Méliès, Bleuette Bernon, François Lallement, Henri Delannoy, Victor André",,,,,,,,,,,
a whisker away,2020,7.902,1403.0,104.0,"Animation, Drama, Romance, Fantasy","A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",Junichi Sato,"Mirai Shida, Natsuki Hanae, Koichi Yamadera, Hiroaki Ogi, Minako Kotobuki",,,,,,,,,,,
a woman under the influence,1974,,,,,,,,,,,,,,88.0,77.0,"Drama,Romance",John Cassavetes,155.0
about dry grasses,2024,,,,,,,,,,,,,,88.0,70.0,Drama,Nuri Bilge Ceylan,197.0
about time,2013,7.914,8689.0,123.0,"Drama, Romance, Fantasy","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hollander, Margot Robbie",,,,,,,,,,,
ace in the hole,1951,7.859,686.0,111.0,Drama,An arrogant reporter exploits a story about a man trapped in a cave to revitalize his career.,Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall, Frank Cady",,,,,,,,,,,
afghan star,2009,,,,,,,,100.0,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star,,,,,
afghan star,2009,,,,,,,,100.0,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star,,,,,
afghan star,2009,,,,,,,,100.0,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star,,,,,
afghan star,2009,,,,,,,,100.0,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star,,,,,
afghan star,2009,,,,,,,,100.0,77.0,documentary,Havana Marking,1h 28m,http://www.rottentomatoes.com/m/afghan_star,,,,,
after hours,1985,,,,,,,,,,,,,,89.0,80.0,"Comedy,Crime,Drama,Thriller",Martin Scorsese,97.0
after life,1999,,,,,,,,,,,,,,91.0,72.0,"Drama,Fantasy",Hirokazu Koreeda,118.0
aftersun,2022,,,,,,,,,,,,,,95.0,80.0,Drama,Charlotte Wells,98.0
ai weiwei: never sorry,2012,,,,,,,,98.0,87.0,documentary,Alison Klayman,1h 31m,http://www.rottentomatoes.com/m/ai_weiwei_never_sorry_2012,,,,,
ai weiwei: never sorry,2012,,,,,,,,98.0,87.0,documentary,Alison Klayman,1h 31m,http://www.rottentomatoes.com/m/ai_weiwei_never_sorry_2012,,,,,
akira,1988,7.9,4369.0,124.0,"Animation, Science Fiction, Action",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,Katsuhiro Otomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tarō Ishida, Mizuho Suzuki",,,,,,,,,,,
