Title,Year,Rating,Votes,Runtime(min),Genres_x,Overview,Director_x,Actors,RT_CriticScore,RT_AudienceScore,Genres_y,Director_y,Runtime_x,RT_Link,Metascore,UserScore,Genres,Director,Runtime_y
coco,2017,8.204,19891.0,105.0,"Family, Animation, Music, Adventure","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor",,,,,,,,,,,
coda,2021,7.924,2325.0,112.0,"Drama, Music, Romance","As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",Siân Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur, Eugenio Derbez, Ferdia Walsh-Peelo",,,,,,,,,,,
cold war,2018,,,,,,,,,,,,,,90.0,80.0,"Drama,Music,Romance",Pawel Pawlikowski,89.0
collective,2019,,,,,,,,99.0,92.0,documentary,Alexander Nanau,1h 49m,http://www.rottentomatoes.com/m/collective_2020,,,,,
collective,2020,,,,,,,,,,,,,,95.0,76.0,"Documentary,Crime",Alexander Nanau,109.0
columbus,2017,,,,,,,,,,,,,,89.0,73.0,Drama,Kogonada,100.0
come and see,1985,8.238,1573.0,142.0,"Drama, War","The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste",,,,,,,,,,,
cool hand luke,1967,,,,,,,,100.0,95.0,drama,Stuart Rosenberg,2h 9m,http://www.rottentomatoes.com/m/cool_hand_luke,92.0,83.0,"Crime,Drama",Stuart Rosenberg,126.0
coraline,2009,7.89,8326.0,100.0,"Animation, Family, Fantasy","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David",,,,,,,,,,,
counterattack,2025,8.38,624.0,85.0,"Action, Adventure, Thriller","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",Chava Cartas,"Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, Guillermo Nava",,,,,,,,,,,
cries and whispers,1972,7.918,710.0,95.0,Drama,"As Agnes slowly dies of cancer, her sisters are so immersed in their own psychic pains that they are unable to offer her the support she needs.",Ingmar Bergman,"Liv Ullmann, Ingrid Thulin, Kari Sylwan, Harriet Andersson, Erland Josephson",,,,,,,,,,,
crime + punishment,2018,,,,,,,,,,,,,,88.0,0.0,Documentary,Stephen T. Maing,112.0
crip camp,2020,,,,,,,,100.0,91.0,documentary,"Jim LeBrecht, Nicole Newnham",1h 47m,http://www.rottentomatoes.com/m/crip_camp_a_disability_revolution,,,,,
"crouching tiger, hidden dragon",2000,,,,,,,,,,,,,,94.0,81.0,"Action,Adventure,Drama,Fantasy,Romance",Ang Lee,120.0
cruella,2021,7.995,9526.0,134.0,"Comedy, Crime, Adventure","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, John McCrea",,,,,,,,,,,
crumb,1995,,,,,,,,,,,,,,93.0,84.0,"Documentary,Biography,Comedy,Drama",Terry Zwigoff,119.0
dallas buyers club,2013,7.92,8598.0,117.0,"Drama, History","Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn",,,,,,,,,,,
dancer in the dark,2000,7.869,1841.0,140.0,"Drama, Crime","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles – even if just for a moment – by dreaming up little numbers to the rhythmic beats of her surroundings.",Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey",,,,,,,,,,,
dangal,2016,7.889,1027.0,161.0,"Drama, Family, Comedy","Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",Nitesh Tiwari,"Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim, Suhani Bhatnagar",,,,,,,,,,,
darbareye elly,2009,,,,,,,,99.0,84.0,"mystery and thriller, drama",Asghar Farhadi,1h 59m,http://www.rottentomatoes.com/m/about_elly,,,,,
das boot,1981,8.082,2279.0,150.0,"Drama, History, War","A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge",,,,,,,,,,,
david byrne's american utopia,2020,,,,,,,,98.0,86.0,musical,Spike Lee,2h 15m,http://www.rottentomatoes.com/m/david_byrnes_american_utopia,,,,,
david byrne’s american utopia,2020,,,,,,,,,,,,,,93.0,75.0,"Documentary,Music,Musical",Spike Lee,105.0
david copperfield,1935,,,,,,,,,,,,,,91.0,66.0,"Adventure,Drama,Family,Romance",George Cukor,130.0
days,2021,,,,,,,,,,,,,,92.0,52.0,Drama,Ming-liang Tsai,127.0
days of being wild (re-release),2004,,,,,,,,,,,,,,93.0,81.0,"Crime,Drama,Romance",Kar-Wai Wong,94.0
days of heaven,1978,,,,,,,,,,,,,,94.0,80.0,"Drama,Romance",Terrence Malick,94.0
de humani corporis fabrica,2023,,,,,,,,,,,,,,92.0,63.0,Documentary,"Lucien Castaing-Taylor,Verena Paravel",118.0
dead poets society,1989,8.302,11593.0,128.0,Drama,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen",,,,,,,,,,,
dead souls,2018,,,,,,,,,,,,,,89.0,0.0,"Documentary,History",Wang Bing,495.0
deadwood: the movie,2019,,,,,,,,98.0,84.0,western,Daniel Minahan,1h 49m,http://www.rottentomatoes.com/m/deadwood_the_movie,,,,,
death note relight 1: visions of a god,2007,7.896,356.0,131.0,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation","A recap of Death Note episodes 1–26, with new footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",Tetsuro Araki,"Mamoru Miyano, Shido Nakamura, Kappei Yamaguchi, Aya Hirano, Naoya Uchida",,,,,,,,,,,
dedicated to my ex,2019,8.292,506.0,94.0,"Drama, Comedy","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",Jorge Ulloa,"Raúl Santana, Nataly Valencia, Carlos Alcántara, Biassini Segura, Mariana Treviño",,,,,,,,,,,
deep red,1976,,,,,,,,,,,,,,89.0,74.0,"Horror,Mystery,Thriller",Dario Argento,126.0
dekalog (1988),1996,,,,,,,,,,,,,,100.0,78.0,Drama,Krzysztof Kieslowski,572.0
deliver us from evil,2006,,,,,,,,100.0,89.0,"crime, drama, documentary",Amy Berg,1h 43m,http://www.rottentomatoes.com/m/deliver_us_from_evil,,,,,
democrats,2015,,,,,,,,,,,,,,88.0,0.0,Documentary,Camilla Nielsson,100.0
demon slayer -kimetsu no yaiba- the movie: mugen train,2020,8.2,4060.0,117.0,"Animation, Action, Fantasy, Thriller","Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino",,,,,,,,,,,
dersu uzala,1975,7.945,558.0,141.0,"Action, Adventure, Drama","A military explorer meets and befriends a Goldi man in Russia’s unmapped forests. A deep and abiding bond evolves between the two men, one civilized in the usual sense, the other at home in the glacial Siberian woods.",Akira Kurosawa,"Yuriy Solomin, Maksim Munzuk, Mikhail Bychkov, B. Khorulev, Vladimir Kremena",,,,,,,,,,,
detour,1945,,,,,,,,98.0,78.0,"crime, drama",Edgar G. Ulmer,1h 9m,http://www.rottentomatoes.com/m/detour,,,,,
detour,1945,,,,,,,,98.0,78.0,"crime, drama",Edgar G. Ulmer,1h 9m,http://www.rottentomatoes.com/m/detour,,,,,
diabolique,1955,7.906,1000.0,117.0,"Horror, Thriller, Mystery","The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",Henri-Georges Clouzot,"Véra Clouzot, Simone Signoret, Paul Meurisse, Charles Vanel, Jean Brochard",,,,,,,,,,,
dial m for murder,1954,8.021,2656.0,105.0,"Thriller, Crime","An ex-tennis pro carries out a plot to have his wealthy wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway.",Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson",,,,,,,,,,,
dick johnson is dead,2020,,,,,,,,100.0,78.0,documentary,Kirsten Johnson,1h 29m,http://www.rottentomatoes.com/m/dick_johnson_is_dead,89.0,73.0,"Documentary,Biography,Drama",Kirsten Johnson,89.0
dilwale dulhania le jayenge,1995,8.516,4482.0,190.0,"Comedy, Drama, Romance","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",Aditya Chopra,"Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher",,,,,,,,,,,
disclosure,2020,,,,,,,,98.0,87.0,documentary,Sam Feder,1h 40m,http://www.rottentomatoes.com/m/disclosure_2020_2,,,,,
divorce italian style,1961,7.905,475.0,104.0,"Comedy, Crime","Ferdinando Cefalù is desperate to marry his cousin, Angela, but he is married to Rosalia and divorce is illegal in Italy. To get around the law, he tries to trick his wife into having an affair so he can catch her and murder her, as he knows he would be given a light sentence for killing an adulterous woman. He persuades a painter to lure his wife into an affair, but Rosalia proves to be more faithful than he expected.",Pietro Germi,"Marcello Mastroianni, Daniela Rocca, Stefania Sandrelli, Leopoldo Trieste, Odoardo Spadaro",,,,,,,,,,,
django unchained,2012,8.183,26670.0,165.0,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson",,,,,,,,,,,
do not expect too much from the end of the world,2024,,,,,,,,,,,,,,95.0,67.0,"Comedy,Drama",Radu Jude,163.0
do the right thing,1989,,,,,,,,,,,,,,93.0,82.0,"Comedy,Drama",Spike Lee,120.0
doctor who: the day of the doctor,2013,8.2,750.0,77.0,"Science Fiction, Adventure","In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.",Nick Hurran,"Matt Smith, David Tennant, John Hurt, Jenna Coleman, Billie Piper",,,,,,,,,,,
dogman,2023,7.9,1173.0,115.0,"Action, Drama, Crime","A boy, bruised by life, finds his salvation through the love of his dogs.",Luc Besson,"Caleb Landry Jones, Jojo T. Gibbs, Christopher Denham, Clemens Schick, John Charles Aguilar",,,,,,,,,,,
don't look now,1973,,,,,,,,,,,,,,95.0,68.0,"Drama,Horror,Mystery,Thriller",Nicolas Roeg,110.0
don't look now... we're being shot at!,1966,7.924,1369.0,132.0,"Comedy, War","During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops – and the consequences of their own blunders.",Gérard Oury,"Bourvil, Louis de Funès, Terry-Thomas, Claudio Brook, Mike Marshall",,,,,,,,,,,
don't think twice,2016,,,,,,,,98.0,69.0,"comedy, drama",Mike Birbiglia,1h 28m,http://www.rottentomatoes.com/m/dont_think_twice,,,,,
dou kyu sei – classmates,2016,8.327,401.0,61.0,"Romance, Animation","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",Shoko Nakamura,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",,,,,,,,,,,
double indemnity,1944,8.1,1855.0,107.0,"Crime, Thriller",A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy.,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather",,,,,,,95.0,86.0,"Crime,Drama,Film-Noir,Mystery,Thriller",Billy Wilder,107.0
downfall,2004,7.9,3955.0,155.0,"Drama, History, War","In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler",,,,,,,,,,,
downhill racer,1969,,,,,,,,,,,,,,89.0,76.0,"Drama,Sport",Michael Ritchie,101.0
dr. jekyll and mr. hyde,1932,,,,,,,,,,,,,,88.0,0.0,"Horror,Sci-Fi",Rouben Mamoulian,98.0
dr. strangelove or: how i learned to stop worrying and love the bomb,1964,8.118,5749.0,95.0,"Comedy, War","After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",98.0,94.0,comedy,Stanley Kubrick,1h 33m,http://www.rottentomatoes.com/m/dr_strangelove,97.0,88.0,"Comedy,War",Stanley Kubrick,95.0
dr. strangelove or: how i learned to stop worrying and love the bomb,1964,8.118,5749.0,95.0,"Comedy, War","After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",98.0,94.0,comedy,Stanley Kubrick,1h 33m,http://www.rottentomatoes.com/m/dr_strangelove,97.0,88.0,"Comedy,War",Stanley Kubrick,95.0
dr. strangelove or: how i learned to stop worrying and love the bomb,1964,8.118,5749.0,95.0,"Comedy, War","After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",98.0,94.0,comedy,Stanley Kubrick,1h 33m,http://www.rottentomatoes.com/m/dr_strangelove,97.0,88.0,"Comedy,War",Stanley Kubrick,95.0
dragon ball super: broly,2018,7.9,2973.0,99.0,"Action, Science Fiction, Animation","Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",Tatsuya Nagamine,"Masako Nozawa, Aya Hisakawa, Ryo Horikawa, Toshio Furukawa, Takeshi Kusao",,,,,,,,,,,
dragon ball super: super hero,2022,7.903,2883.0,99.0,"Animation, Science Fiction, Action","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",Tetsuro Kodama,"Masako Nozawa, Toshio Furukawa, Yuko Minaguchi, Hiroshi Kamiya, Mamoru Miyano",,,,,,,,,,,
drive my car,2021,,,,,,,,,,,,,,91.0,76.0,Drama,Ryûsuke Hamaguchi,179.0
duck soup,1933,,,,,,,,,,,,,,93.0,75.0,"Comedy,Musical",Leo McCarey,68.0
dumbo,1941,,,,,,,,98.0,70.0,"kids and family, animation, fantasy",Ben Sharpsteen,1h 4m,http://www.rottentomatoes.com/m/dumbo,96.0,76.0,"Animation,Adventure,Drama,Family,Fantasy,Musical","Samuel Armstrong,Norman Ferguson,Wilfred Jackson,Jack Kinney,Bill Roberts,Ben Sharpsteen",64.0
dumbo,1941,,,,,,,,98.0,70.0,"kids and family, animation, fantasy",Ben Sharpsteen,1h 4m,http://www.rottentomatoes.com/m/dumbo,96.0,76.0,"Animation,Adventure,Drama,Family,Fantasy,Musical","Samuel Armstrong,Norman Ferguson,Wilfred Jackson,Jack Kinney,Bill Roberts,Ben Sharpsteen",64.0
dune: part two,2024,8.148,6530.0,167.0,"Science Fiction, Adventure","Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin",,,,,,,,,,,
dunkirk,2017,,,,,,,,,,,,,,94.0,82.0,"Action,Drama,History,Thriller,War",Christopher Nolan,106.0
e.t. the extra-terrestrial,1982,,,,,,,,98.0,72.0,"kids and family, adventure, sci fi",Steven Spielberg,1h 55m,http://www.rottentomatoes.com/m/et_the_extraterrestrial,92.0,82.0,"Adventure,Family,Sci-Fi",Steven Spielberg,115.0
e.t. the extra-terrestrial,1982,,,,,,,,98.0,72.0,"kids and family, adventure, sci fi",Steven Spielberg,1h 55m,http://www.rottentomatoes.com/m/et_the_extraterrestrial,92.0,82.0,"Adventure,Family,Sci-Fi",Steven Spielberg,115.0
ear for eye,2023,,,,,,,,,,,,,,88.0,0.0,Drama,Debbie Tucker Green,88.0
eighth grade,2018,,,,,,,,99.0,82.0,"comedy, drama",Bo Burnham,1h 33m,http://www.rottentomatoes.com/m/eighth_grade,,,,,
el infierno,2010,7.891,699.0,148.0,"Action, Crime, Western, Comedy, Drama","After being deported back to Mexico, a man has no choice but to join the vicious drug cartel that has corrupted his hometown in order to survive.",Luis Estrada,"Damián Alcázar, Joaquín Cosío, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes",,,,,,,,,,,
el mesero,2021,8.0,352.0,86.0,Comedy,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,Raúl Martínez,"Vadhir Derbez, Bárbara López, Arturo Barba, Emiliano Zurita, Ignacia Allamand",,,,,,,,,,,
elaine stritch: shoot me,2013,,,,,,,,99.0,79.0,documentary,Chiemi Karasawa,1h 26m,http://www.rottentomatoes.com/m/elaine_stritch_shoot_me_2013,,,,,
elaine stritch: shoot me,2013,,,,,,,,99.0,79.0,documentary,Chiemi Karasawa,1h 26m,http://www.rottentomatoes.com/m/elaine_stritch_shoot_me_2013,,,,,
elevator to the gallows,1961,,,,,,,,,,,,,,94.0,79.0,"Crime,Drama,Thriller",Louis Malle,91.0
elite squad,2007,8.056,2482.0,115.0,"Drama, Action, Crime","In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",José Padilha,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz, Fernanda Machado",,,,,,,,,,,
elle,2016,,,,,,,,,,,,,,89.0,72.0,"Crime,Drama,Thriller",Paul Verhoeven,130.0
ernest & célestine,2014,,,,,,,,98.0,88.0,,Vincent Patar,,http://www.rottentomatoes.com/m/ernest_and_celestine,,,,,
ernest & célestine,2014,,,,,,,,98.0,88.0,,Vincent Patar,,http://www.rottentomatoes.com/m/ernest_and_celestine,,,,,
eternal sunshine of the spotless mind,2004,8.092,15373.0,108.0,"Science Fiction, Drama, Romance","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood",,,,,,,89.0,89.0,"Drama,Romance,Sci-Fi",Michel Gondry,108.0
evangelion: 3.0+1.0 thrice upon a time,2021,8.2,835.0,155.0,"Animation, Action, Science Fiction, Drama","In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",Kazuya Tsurumaki,"Megumi Ogata, Yuko Miyamura, Maaya Sakamoto, Megumi Hayashibara, Kotono Mitsuishi",,,,,,,,,,,
everyday sunshine: the story of fishbone,2010,,,,,,,,100.0,85.0,"music, documentary","Lev Anderson, Chris Metzler",1h 47m,http://www.rottentomatoes.com/m/everyday_sunshine_the_story_of_fishbone_2011,,,,,
everyday sunshine: the story of fishbone,2010,,,,,,,,100.0,85.0,"music, documentary","Lev Anderson, Chris Metzler",1h 47m,http://www.rottentomatoes.com/m/everyday_sunshine_the_story_of_fishbone_2011,,,,,
ex libris: the new york public library,2017,,,,,,,,,,,,,,91.0,77.0,Documentary,Frederick Wiseman,197.0
eyes without a face,1959,,,,,,,,98.0,87.0,"drama, horror",Georges Franju,1h 24m,http://www.rottentomatoes.com/m/eyes_without_a_face_1962,,,,,
eyes without a face,1959,,,,,,,,98.0,87.0,"drama, horror",Georges Franju,1h 24m,http://www.rottentomatoes.com/m/eyes_without_a_face_1962,,,,,
eyes without a face,1959,,,,,,,,98.0,87.0,"drama, horror",Georges Franju,1h 24m,http://www.rottentomatoes.com/m/eyes_without_a_face_1962,,,,,
eyes without a face [re-release],2003,,,,,,,,,,,,,,90.0,71.0,"Drama,Horror",Georges Franju,88.0
faces places,2017,,,,,,,,99.0,89.0,documentary,"Agnès Varda, JR",1h 29m,http://www.rottentomatoes.com/m/faces_places,94.0,72.0,"Documentary,Adventure","JR,Agnès Varda",89.0
faces places,2017,,,,,,,,99.0,89.0,documentary,"Agnès Varda, JR",1h 29m,http://www.rottentomatoes.com/m/faces_places,94.0,72.0,"Documentary,Adventure","JR,Agnès Varda",89.0
fanny and alexander (re-release),2004,,,,,,,,,,,,,,100.0,83.0,Drama,Ingmar Bergman,188.0
fantasia,1940,,,,,,,,,,,,,,96.0,81.0,"Animation,Family,Fantasy,Music,Musical","James Algar,Wilfred Jackson,Samuel Armstrong,Paul Satterfield,Bill Roberts,Hamilton Luske,Ben Sharpsteen,T. Hee,Jim Handley,David Hand,Norman Ferguson,Ford Beebe Jr.",125.0
far from the tree,2021,8.1,378.0,7.0,"Animation, Family","On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",Natalie Nourigat,,,,,,,,,,,,
farewell my concubine,1993,7.943,600.0,171.0,Drama,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Chen Kaige,"Leslie Cheung, Zhang Fengyi, Gong Li, Lü Qi, Ying Da",,,,,,,,,,,
fargo,1996,7.857,8316.0,98.0,"Crime, Drama, Thriller","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",Joel Coen,"Frances McDormand, William H. Macy, Steve Buscemi, Peter Stormare, Harve Presnell",,,,,,,,,,,
fat city,1972,,,,,,,,,,,,,,89.0,0.0,"Drama,Sport",John Huston,96.0
faust,1926,7.898,359.0,116.0,"Fantasy, Drama, Horror","God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist.",F. W. Murnau,"Gösta Ekman, Emil Jannings, Camilla Horn, Frida Richard, William Dieterle",,,,,,,,,,,
fight club,1999,8.438,30142.0,139.0,Drama,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto",,,,,,,,,,,
finding nemo,2003,,,,,,,,99.0,86.0,"kids and family, comedy, adventure, animation",Andrew Stanton,1h 40m,http://www.rottentomatoes.com/m/finding_nemo,90.0,86.0,"Animation,Adventure,Comedy,Family","Andrew Stanton,Lee Unkrich",100.0
finding nemo,2003,,,,,,,,99.0,86.0,"kids and family, comedy, adventure, animation",Andrew Stanton,1h 40m,http://www.rottentomatoes.com/m/finding_nemo,90.0,86.0,"Animation,Adventure,Comedy,Family","Andrew Stanton,Lee Unkrich",100.0
finding nemo,2003,,,,,,,,99.0,86.0,"kids and family, comedy, adventure, animation",Andrew Stanton,1h 40m,http://www.rottentomatoes.com/m/finding_nemo,90.0,86.0,"Animation,Adventure,Comedy,Family","Andrew Stanton,Lee Unkrich",100.0
fireworks wednesday,2006,,,,,,,,100.0,84.0,drama,Asghar Farhadi,1h 44m,http://www.rottentomatoes.com/m/fireworks_wednesday,,,,,
first cow,2020,,,,,,,,,,,,,,90.0,70.0,"Drama,Western",Kelly Reichardt,122.0
